,inv_3 cp_3,inv_3 cp_4,inv_3 cp_5,inv_3 cp_6,inv_3 cp_7,inv_3 cp_8,inv_3 cp_9,inv_3 cp_10,inv_4 cp_3,inv_4 cp_4,inv_4 cp_5,inv_4 cp_6,inv_4 cp_7,inv_4 cp_8,inv_4 cp_9,inv_4 cp_10,inv_5 cp_3,inv_5 cp_4,inv_5 cp_5,inv_5 cp_6,inv_5 cp_7,inv_5 cp_8,inv_5 cp_9,inv_5 cp_10,inv_6 cp_3,inv_6 cp_4,inv_6 cp_5,inv_6 cp_6,inv_6 cp_7,inv_6 cp_8,inv_6 cp_9,inv_6 cp_10,inv_7 cp_3,inv_7 cp_4,inv_7 cp_5,inv_7 cp_6,inv_7 cp_7,inv_7 cp_8,inv_7 cp_9,inv_7 cp_10,inv_8 cp_3,inv_8 cp_4,inv_8 cp_5,inv_8 cp_6,inv_8 cp_7,inv_8 cp_8,inv_8 cp_9,inv_8 cp_10,inv_9 cp_3,inv_9 cp_4,inv_9 cp_5,inv_9 cp_6,inv_9 cp_7,inv_9 cp_8,inv_9 cp_9,inv_9 cp_10,inv_10 cp_3,inv_10 cp_4,inv_10 cp_5,inv_10 cp_6,inv_10 cp_7,inv_10 cp_8,inv_10 cp_9,inv_10 cp_10
0,45,46,59,60,65,65,65,65,46,46,59,65,64,65,65,65,51,55,64,64,65,65,65,65,57,59,64,64,65,65,65,65,53,64,65,65,65,65,65,65,59,65,65,65,65,65,65,65,61,64,65,65,65,65,65,65,62,65,65,65,65,65,65,65
1,40,50,53,59,65,65,65,65,46,55,62,65,65,65,65,65,51,60,65,65,65,65,65,65,57,61,63,65,65,65,65,65,53,60,65,65,65,65,65,65,59,63,64,65,65,65,65,65,60,63,65,65,65,65,65,65,64,64,65,65,65,65,65,65
2,36,54,55,62,65,64,65,65,43,51,62,64,65,65,65,65,46,59,61,65,65,65,65,65,51,61,64,64,65,65,65,65,54,62,65,65,65,65,65,65,58,64,65,65,65,65,65,65,60,63,65,65,65,65,65,65,59,65,65,65,65,65,65,65
3,43,44,59,61,64,65,65,65,43,56,62,62,65,65,65,65,49,61,64,65,65,65,65,65,55,59,64,65,65,65,65,65,55,60,65,65,65,65,65,65,57,65,65,65,65,65,65,65,58,65,65,65,65,65,65,65,60,65,65,65,65,65,65,65
4,43,52,58,61,64,65,65,65,48,55,63,64,65,65,65,65,50,57,62,64,65,65,65,65,53,59,64,65,65,65,65,65,52,61,65,64,65,65,65,65,58,63,65,65,65,65,65,65,61,64,65,65,65,65,65,65,55,65,65,65,65,65,65,65
5,40,48,57,61,64,65,65,65,43,55,59,65,65,65,65,65,48,59,65,65,65,65,65,65,47,62,64,65,65,65,65,65,54,62,65,65,65,65,65,65,58,64,65,65,65,65,65,65,58,65,65,65,65,65,65,65,61,65,65,65,65,65,65,65
6,41,47,56,61,65,65,65,65,44,58,64,65,65,65,65,65,50,60,62,65,65,65,65,65,50,61,64,65,65,65,65,65,55,63,65,65,65,65,65,65,59,65,65,65,65,65,65,65,61,65,65,65,65,65,65,65,63,64,65,65,65,65,65,65
7,39,49,54,60,63,65,65,65,43,50,61,61,64,65,65,65,51,56,62,65,65,65,65,65,53,62,64,65,65,65,65,65,53,63,64,65,65,65,65,65,50,65,65,65,65,65,65,65,59,65,65,65,65,65,65,65,61,65,65,65,65,65,65,65
8,46,54,57,63,65,65,65,65,49,51,60,63,64,65,65,65,50,58,61,63,65,65,65,65,51,60,64,65,65,65,65,65,54,65,63,65,65,65,65,65,59,63,64,65,65,65,65,65,60,63,65,65,65,65,65,65,63,64,65,64,65,65,65,65
9,40,50,57,64,65,65,65,65,45,55,62,63,65,65,65,65,52,56,64,65,65,65,65,65,52,60,64,64,65,65,65,65,58,61,65,65,65,65,65,65,60,61,63,65,65,65,65,65,58,64,65,65,65,65,65,65,56,63,65,65,65,65,65,65
10,38,49,54,62,64,64,65,65,43,56,61,62,64,65,65,65,53,60,61,65,65,65,65,65,52,60,65,65,65,65,64,65,56,57,65,65,65,65,65,65,55,62,65,65,64,65,65,65,61,64,65,65,65,65,65,65,57,65,65,65,65,65,65,65
11,35,53,54,64,64,65,65,65,45,50,61,65,65,65,65,65,45,56,65,65,65,65,65,65,55,61,65,65,65,65,65,65,52,62,65,65,65,65,65,65,61,60,65,65,65,65,65,65,55,62,65,65,65,65,65,65,58,65,65,65,65,65,65,65
12,39,54,60,61,62,65,65,65,46,53,64,64,65,65,65,65,49,58,63,65,65,65,65,65,54,61,63,64,65,65,65,65,58,60,63,65,65,65,65,65,58,63,65,65,65,65,65,65,61,65,65,65,65,65,65,65,63,65,65,65,65,65,65,65
13,43,52,62,63,64,65,65,65,44,61,64,63,63,65,65,65,46,60,60,64,65,65,65,65,53,61,64,65,65,65,65,65,53,65,65,65,65,65,65,65,60,65,65,65,65,65,65,65,61,65,64,65,65,65,65,65,62,65,65,65,65,65,65,65
14,39,51,55,59,61,65,65,65,44,52,61,62,65,65,65,65,47,57,61,64,65,65,65,65,55,63,64,65,65,65,65,65,53,62,63,65,65,65,65,65,60,63,65,65,65,65,65,65,59,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
15,40,50,56,59,64,64,65,65,40,53,62,63,63,65,65,65,50,58,63,65,64,65,65,65,51,57,65,65,65,65,65,65,55,63,65,65,65,65,65,65,58,59,65,65,65,65,65,65,60,65,65,65,65,65,65,65,63,64,65,65,65,65,65,65
16,41,52,59,61,62,63,65,65,46,55,62,64,65,65,65,65,49,59,64,64,65,65,65,65,53,62,59,65,65,65,65,65,52,62,63,65,65,65,65,65,57,63,65,65,65,65,65,65,58,65,65,65,65,65,65,65,63,65,65,65,65,65,65,65
17,38,50,51,64,64,64,64,65,45,53,62,65,65,65,65,65,51,60,65,64,65,65,65,65,57,59,65,64,65,65,65,65,53,63,65,64,65,65,65,65,56,64,65,65,65,65,65,65,61,65,65,65,65,65,65,65,57,65,65,65,65,65,65,65
18,39,51,57,62,64,65,65,65,46,53,63,63,65,65,65,65,48,60,62,65,65,65,65,65,53,63,65,65,65,65,65,65,57,63,65,65,65,65,65,65,59,63,65,65,65,65,65,65,58,65,65,65,65,65,65,65,62,65,65,65,65,65,65,65
19,42,49,58,62,64,65,64,65,46,57,63,59,64,65,65,65,47,55,61,64,65,65,65,65,49,59,65,65,65,65,65,65,53,63,65,65,65,65,65,65,58,63,65,65,65,65,65,65,56,65,64,65,65,65,65,65,58,65,65,65,65,65,65,65
20,37,47,60,61,64,63,65,65,46,55,63,65,65,65,65,65,53,57,65,64,65,65,65,65,52,60,64,65,65,65,65,65,55,63,64,65,65,65,65,65,57,61,65,65,65,65,65,65,62,62,65,65,65,65,65,65,61,65,65,65,65,65,65,65
21,42,51,60,63,64,64,64,65,47,59,63,60,65,65,65,65,49,62,56,64,65,65,65,65,55,56,64,64,65,65,65,65,50,63,65,65,65,65,65,65,59,63,65,65,65,65,65,65,55,65,65,65,65,65,65,65,50,65,65,65,65,65,65,65
22,39,51,52,60,64,65,65,65,42,57,60,64,65,65,65,65,53,61,63,65,65,65,65,65,48,62,65,65,65,65,65,65,50,63,65,65,65,65,65,65,55,64,65,65,65,65,65,65,63,65,65,65,65,65,65,65,59,64,65,65,65,65,65,65
23,38,52,58,61,64,65,65,65,46,55,61,64,65,65,65,65,51,59,63,65,65,65,65,65,52,62,65,65,65,65,65,65,56,58,63,65,65,65,65,65,60,65,65,65,65,65,65,65,59,63,65,65,65,65,65,65,59,65,65,65,65,65,65,65
24,41,49,58,61,65,65,65,65,46,53,60,64,65,65,65,65,51,60,64,65,65,65,65,65,54,63,65,65,65,65,65,65,58,61,64,65,65,65,65,65,58,64,63,65,65,65,65,65,58,65,65,65,65,65,65,65,62,65,65,65,65,65,65,65
25,36,49,53,60,64,65,65,65,46,55,60,65,65,64,65,65,52,59,64,65,65,65,65,65,55,62,63,65,65,65,65,65,54,59,65,65,65,65,65,65,59,61,65,65,65,65,65,65,58,65,65,65,65,65,65,65,60,65,65,65,65,65,65,65
26,38,52,57,63,65,65,65,65,48,53,59,63,65,65,65,65,48,58,64,65,65,65,65,65,49,61,63,65,65,65,65,65,58,62,65,65,65,65,65,65,58,65,65,65,65,65,65,65,59,65,65,65,65,65,65,65,61,65,65,65,65,65,65,65
27,44,52,60,65,64,62,65,65,44,52,62,64,65,65,65,64,48,55,62,65,65,65,65,65,52,61,65,65,65,65,65,65,54,60,65,65,65,65,65,65,58,65,65,65,65,65,65,65,58,65,65,65,65,65,65,65,58,65,65,65,65,65,65,65
28,41,49,56,65,63,63,65,65,47,57,60,65,63,65,65,65,51,61,63,65,65,65,65,65,49,64,63,65,65,65,65,65,56,65,65,65,65,65,65,65,57,65,65,65,65,65,65,65,59,65,65,65,65,65,65,65,61,65,65,65,65,65,65,65
29,36,50,53,60,65,65,65,65,43,56,62,62,65,65,65,65,51,61,64,63,65,65,65,65,54,56,64,65,65,64,65,65,53,62,65,65,65,65,65,65,57,64,65,65,65,65,65,65,60,65,65,65,65,65,65,65,60,65,65,65,65,65,65,65
