,inv_1 cp_1,inv_1 cp_2,inv_1 cp_3,inv_1 cp_4,inv_1 cp_5,inv_1 cp_6,inv_1 cp_7,inv_1 cp_8,inv_1 cp_9,inv_1 cp_10,inv_2 cp_1,inv_2 cp_2,inv_2 cp_3,inv_2 cp_4,inv_2 cp_5,inv_2 cp_6,inv_2 cp_7,inv_2 cp_8,inv_2 cp_9,inv_2 cp_10,inv_3 cp_1,inv_3 cp_2,inv_3 cp_3,inv_3 cp_4,inv_3 cp_5,inv_3 cp_6,inv_3 cp_7,inv_3 cp_8,inv_3 cp_9,inv_3 cp_10,inv_4 cp_1,inv_4 cp_2,inv_4 cp_3,inv_4 cp_4,inv_4 cp_5,inv_4 cp_6,inv_4 cp_7,inv_4 cp_8,inv_4 cp_9,inv_4 cp_10,inv_5 cp_1,inv_5 cp_2,inv_5 cp_3,inv_5 cp_4,inv_5 cp_5,inv_5 cp_6,inv_5 cp_7,inv_5 cp_8,inv_5 cp_9,inv_5 cp_10,inv_6 cp_1,inv_6 cp_2,inv_6 cp_3,inv_6 cp_4,inv_6 cp_5,inv_6 cp_6,inv_6 cp_7,inv_6 cp_8,inv_6 cp_9,inv_6 cp_10,inv_7 cp_1,inv_7 cp_2,inv_7 cp_3,inv_7 cp_4,inv_7 cp_5,inv_7 cp_6,inv_7 cp_7,inv_7 cp_8,inv_7 cp_9,inv_7 cp_10,inv_8 cp_1,inv_8 cp_2,inv_8 cp_3,inv_8 cp_4,inv_8 cp_5,inv_8 cp_6,inv_8 cp_7,inv_8 cp_8,inv_8 cp_9,inv_8 cp_10,inv_9 cp_1,inv_9 cp_2,inv_9 cp_3,inv_9 cp_4,inv_9 cp_5,inv_9 cp_6,inv_9 cp_7,inv_9 cp_8,inv_9 cp_9,inv_9 cp_10,inv_10 cp_1,inv_10 cp_2,inv_10 cp_3,inv_10 cp_4,inv_10 cp_5,inv_10 cp_6,inv_10 cp_7,inv_10 cp_8,inv_10 cp_9,inv_10 cp_10
0,3.0,7.0,12.0,13.0,18.0,23.0,24.0,26.0,27.0,29.0,7.0,12.0,14.0,22.0,24.0,29.0,31.0,31,40,48,9.0,13.0,17.0,25.0,28.0,33.0,37,45,42,50,9.0,17.0,18.0,25.0,32.0,32,37,40,49,55,6.0,16.0,20.0,28.0,33.0,40,39,50,50,57,10.0,21.0,26.0,29.0,37,40,44,49,54,63,11.0,22.0,29.0,35.0,36,49,42,51,62,60,14.0,20.0,26.0,36.0,40,48,50,61,56,63,14.0,20.0,26.0,35.0,40,50,54,61,60,62,11.0,24.0,26.0,41,46,45,56,62,63,62
1,,,,,,,,,,,,,,,,,32.0,40,44,45,,,,,,33.0,39,40,44,50,,,,,25.0,38,40,45,50,50,,,,,36.0,40,46,50,52,59,,,,,37,44,44,50,52,62,,,,32.0,39,48,50,59,56,61,,,,31.0,36,46,47,60,59,64,,,,32.0,37,44,46,55,58,58,,,,36,42,51,58,55,63,64
2,,,,,,,,,,,,,,,,,29.0,35,38,48,,,,,,31.0,40,41,45,49,,,,,,36,41,48,51,52,,,,,36.0,38,48,48,54,59,,,,,36,41,44,50,55,59,,,,36.0,37,45,50,54,62,65,,,,36.0,43,42,49,58,60,58,,,,37.0,40,53,52,62,60,65,,,,35,37,47,49,60,64,64
3,,,,,,,,,,,,,,,,,,41,42,45,,,,,,29.0,33,38,48,48,,,,,,36,39,40,43,54,,,,,36.0,35,44,49,49,53,,,,,35,41,45,54,59,55,,,,34.0,40,46,49,50,56,58,,,,34.0,40,43,46,48,59,65,,,,31.0,45,48,55,58,59,64,,,,36,42,46,54,55,54,65
4,,,,,,,,,,,,,,,,,,34,42,47,,,,,,,35,41,39,51,,,,,,36,36,43,52,54,,,,,33.0,38,46,43,51,61,,,,,32,41,49,51,56,62,,,,31.0,38,47,50,50,54,63,,,,30.0,36,46,48,57,59,61,,,,37.0,38,49,47,58,61,61,,,,35,43,49,56,56,57,64
5,,,,,,,,,,,,,,,,,,37,44,45,,,,,,,36,41,43,47,,,,,,34,38,46,51,54,,,,,29.0,37,39,47,54,55,,,,,32,45,45,54,54,56,,,,30.0,36,42,54,57,58,61,,,,33.0,42,46,53,52,59,62,,,,38.0,39,40,56,55,63,64,,,,37,41,51,57,58,62,65
6,,,,,,,,,,,,,,,,,,36,41,51,,,,,,,35,43,47,47,,,,,,36,43,47,51,53,,,,,,42,43,50,50,57,,,,,40,44,44,52,52,60,,,,33.0,36,36,46,50,53,62,,,,34.0,44,48,50,53,65,65,,,,36.0,42,50,55,58,64,63,,,,37,46,49,53,63,62,63
7,,,,,,,,,,,,,,,,,,38,42,47,,,,,,,34,39,48,50,,,,,,35,37,44,49,55,,,,,,39,43,48,49,57,,,,,38,40,45,43,57,61,,,,32.0,39,40,50,55,57,57,,,,30.0,40,40,54,57,63,58,,,,38.0,43,50,55,58,61,63,,,,41,41,50,57,58,59,63
8,,,,,,,,,,,,,,,,,,32,38,46,,,,,,,35,42,47,53,,,,,,33,39,45,48,48,,,,,,37,45,47,47,60,,,,,39,43,42,53,58,56,,,,39.0,37,44,49,59,60,58,,,,34.0,41,47,52,61,59,63,,,,34.0,42,52,52,57,59,64,,,,37,45,48,48,59,61,63
9,,,,,,,,,,,,,,,,,,37,43,43,,,,,,,37,43,43,49,,,,,,33,45,47,49,55,,,,,,38,46,50,58,61,,,,,36,47,45,53,50,57,,,,28.0,41,48,49,48,58,64,,,,37.0,39,45,45,53,56,62,,,,33.0,43,49,50,53,64,61,,,,39,39,46,56,55,59,65
10,,,,,,,,,,,,,,,,,,42,40,41,,,,,,,35,43,45,53,,,,,,37,41,47,48,56,,,,,,41,43,46,50,59,,,,,37,41,47,52,55,59,,,,,40,47,47,51,59,61,,,,32.0,33,36,52,54,57,57,,,,36.0,41,47,52,55,62,63,,,,33,43,42,50,55,64,64
11,,,,,,,,,,,,,,,,,,37,39,38,,,,,,,36,44,43,52,,,,,,39,39,42,51,54,,,,,,38,41,46,49,56,,,,,34,42,48,55,55,59,,,,,36,45,49,57,57,62,,,,38.0,42,48,54,49,52,61,,,,31.0,41,49,56,57,61,63,,,,36,43,48,56,58,63,65
12,,,,,,,,,,,,,,,,,,36,42,44,,,,,,,36,45,45,50,,,,,,35,39,43,52,51,,,,,,41,40,47,48,60,,,,,34,37,41,52,53,60,,,,,40,45,46,53,57,57,,,,36.0,40,52,54,61,61,61,,,,35.0,37,50,51,60,63,64,,,,39,50,49,54,59,58,65
13,,,,,,,,,,,,,,,,,,33,41,41,,,,,,,39,41,45,52,,,,,,35,38,47,50,52,,,,,,38,46,51,50,59,,,,,37,44,48,52,55,61,,,,,39,43,51,54,52,62,,,,36.0,42,39,51,52,56,60,,,,34.0,38,50,52,56,61,53,,,,38,45,50,56,51,60,64
14,,,,,,,,,,,,,,,,,,36,42,43,,,,,,,37,40,47,47,,,,,,39,41,40,49,53,,,,,,40,43,49,49,61,,,,,37,46,45,52,61,56,,,,,42,44,46,51,58,62,,,,34.0,33,45,51,53,63,61,,,,38.0,39,44,53,48,59,65,,,,33,46,42,52,56,65,65
15,,,,,,,,,,,,,,,,,,38,45,44,,,,,,,41,42,43,53,,,,,,35,41,45,52,54,,,,,,39,48,45,50,59,,,,,36,44,47,57,53,59,,,,,42,47,53,57,57,61,,,,34.0,39,43,44,53,58,61,,,,30.0,44,42,55,57,63,63,,,,37,42,44,56,55,61,64
16,,,,,,,,,,,,,,,,,,37,37,46,,,,,,,41,42,47,51,,,,,,41,40,46,50,53,,,,,,37,47,50,52,58,,,,,32,43,45,51,57,59,,,,,37,45,47,56,63,62,,,,37.0,38,40,48,55,63,63,,,,38.0,39,48,50,57,65,63,,,,37,45,46,53,60,62,64
17,,,,,,,,,,,,,,,,,,40,42,45,,,,,,,36,42,44,54,,,,,,34,41,43,48,51,,,,,,40,36,51,52,57,,,,,34,42,49,48,56,63,,,,,36,43,50,52,57,60,,,,31.0,42,46,51,59,63,59,,,,35.0,40,44,55,54,65,62,,,,39,40,48,57,54,63,64
18,,,,,,,,,,,,,,,,,,36,41,49,,,,,,,32,42,44,54,,,,,,37,41,47,47,54,,,,,,38,47,48,51,55,,,,,32,36,42,46,59,58,,,,,40,42,49,55,58,61,,,,29.0,36,46,53,58,57,61,,,,37.0,43,46,56,55,64,64,,,,37,37,50,51,61,62,64
19,,,,,,,,,,,,,,,,,,41,45,47,,,,,,,37,39,46,49,,,,,,37,41,47,50,54,,,,,,38,45,43,52,56,,,,,35,44,46,53,57,62,,,,,40,43,48,51,56,64,,,,,46,44,51,57,58,64,,,,35.0,40,44,58,59,58,57,,,,37,39,51,52,54,64,59
20,,,,,,,,,,,,,,,,,,38,44,39,,,,,,,38,39,46,48,,,,,,36,42,49,52,53,,,,,,35,47,48,53,57,,,,,45,39,52,51,53,58,,,,,35,43,49,55,58,63,,,,,42,50,48,59,65,63,,,,34.0,41,50,52,56,62,64,,,,39,44,49,54,58,64,64
21,,,,,,,,,,,,,,,,,,35,47,45,,,,,,,33,42,47,52,,,,,,37,41,46,53,51,,,,,,40,41,45,55,59,,,,,39,38,44,51,56,62,,,,,39,42,40,49,61,60,,,,,41,46,51,52,57,65,,,,37.0,38,46,50,55,61,64,,,,33,37,48,52,60,65,65
22,,,,,,,,,,,,,,,,,,38,43,47,,,,,,,38,38,47,49,,,,,,34,46,40,50,59,,,,,,36,44,51,52,55,,,,,43,42,43,56,54,62,,,,,39,41,47,47,55,63,,,,,42,45,47,54,56,62,,,,35.0,40,47,47,54,63,62,,,,32,39,52,57,56,60,65
23,,,,,,,,,,,,,,,,,,39,43,44,,,,,,,38,44,47,51,,,,,,33,42,44,48,52,,,,,,37,47,45,49,54,,,,,40,44,49,54,57,59,,,,,47,44,43,59,53,63,,,,,38,44,51,56,59,63,,,,29.0,38,47,51,57,62,60,,,,37,44,49,48,59,65,63
24,,,,,,,,,,,,,,,,,,35,44,44,,,,,,,35,42,52,52,,,,,,36,41,45,43,50,,,,,,45,38,48,55,53,,,,,32,43,52,51,57,57,,,,,39,42,51,53,61,59,,,,,46,49,53,56,62,62,,,,,40,44,51,58,63,64,,,,36,40,54,52,59,63,64
25,,,,,,,,,,,,,,,,,,38,42,44,,,,,,,38,40,47,43,,,,,,36,38,45,49,58,,,,,,39,46,51,53,58,,,,,34,48,44,48,57,51,,,,,43,49,51,51,51,62,,,,,36,43,49,57,60,64,,,,,41,46,56,61,56,61,,,,37,38,49,58,59,61,65
26,,,,,,,,,,,,,,,,,,41,43,46,,,,,,,36,35,46,47,,,,,,36,39,45,50,53,,,,,,40,45,45,53,59,,,,,36,42,45,57,56,59,,,,,39,39,47,52,57,58,,,,,47,42,50,57,60,64,,,,,41,46,52,55,63,63,,,,38,42,42,57,54,64,59
27,,,,,,,,,,,,,,,,,,38,42,48,,,,,,,34,40,46,50,,,,,,38,44,44,52,53,,,,,,33,45,51,51,58,,,,,38,37,44,53,54,63,,,,,42,41,46,52,60,63,,,,,38,49,51,53,60,64,,,,,40,42,51,57,61,59,,,,35,40,46,56,63,65,65
28,,,,,,,,,,,,,,,,,,39,42,48,,,,,,,40,44,44,53,,,,,,36,40,41,49,56,,,,,,41,45,48,57,56,,,,,37,44,45,54,57,59,,,,,44,41,52,54,60,59,,,,,38,42,48,57,59,63,,,,,38,48,48,52,63,62,,,,33,40,46,54,60,62,63
29,,,,,,,,,,,,,,,,,,35,42,50,,,,,,,38,41,40,49,,,,,,32,40,49,51,53,,,,,,38,42,50,46,56,,,,,33,42,44,55,52,59,,,,,43,44,45,48,51,60,,,,,43,43,53,56,64,64,,,,,43,47,56,62,59,65,,,,38,44,51,51,64,62,63
